date,value
2023-02-01T02:02:51Z,OrderedDict()
2023-02-02T01:55:20Z,OrderedDict()
2023-02-03T01:55:59Z,OrderedDict()
2023-02-04T01:42:36Z,OrderedDict()
2023-02-05T00:50:02Z,OrderedDict()
2023-02-06T00:43:59Z,OrderedDict()
2023-02-07T00:47:48Z,OrderedDict()
2023-02-08T00:45:12Z,OrderedDict()
2023-02-09T00:45:45Z,OrderedDict()
2023-02-10T00:48:44Z,OrderedDict()
2023-02-11T00:42:26Z,OrderedDict()
2023-02-11T21:18:44Z,OrderedDict()
2023-02-13T00:47:59Z,OrderedDict()
2023-02-14T00:46:24Z,OrderedDict()
2023-02-14T21:21:35Z,OrderedDict()
2023-02-16T00:48:29Z,OrderedDict()
2023-02-17T00:49:44Z,OrderedDict()
2023-02-18T00:47:20Z,OrderedDict()
2023-02-19T00:46:21Z,OrderedDict()
2023-02-20T00:49:11Z,OrderedDict()
2023-02-21T00:48:24Z,OrderedDict()
2023-02-22T00:43:30Z,OrderedDict()
2023-02-24T00:45:51Z,OrderedDict()
2023-02-25T00:46:40Z,OrderedDict()
2023-02-26T00:51:44Z,OrderedDict()
2023-02-27T00:47:52Z,OrderedDict()
2023-02-28T00:47:47Z,OrderedDict()
2023-03-01T00:51:14Z,OrderedDict()
2023-03-02T00:50:34Z,OrderedDict()
2023-03-02T21:19:08Z,OrderedDict()
2023-03-04T00:46:12Z,OrderedDict()
2023-03-05T00:50:11Z,OrderedDict()
2023-03-06T00:48:08Z,OrderedDict()
2023-03-07T00:49:08Z,OrderedDict()
2023-03-08T00:48:12Z,OrderedDict()
2023-03-09T00:48:37Z,OrderedDict()
2023-03-10T00:48:07Z,OrderedDict()
2023-03-11T00:43:06Z,OrderedDict()
2023-03-12T00:47:29Z,OrderedDict()
2023-03-13T00:46:51Z,OrderedDict()
2023-03-14T00:45:36Z,OrderedDict()
2023-03-15T00:46:53Z,OrderedDict()
2023-03-16T00:48:05Z,OrderedDict()
2023-03-17T00:47:41Z,OrderedDict()
2023-03-18T00:44:44Z,OrderedDict()
2023-03-19T00:49:40Z,OrderedDict()
2023-03-20T00:48:19Z,OrderedDict()
2023-03-21T00:44:11Z,OrderedDict()
2023-03-22T00:44:15Z,OrderedDict()
2023-03-23T00:45:42Z,OrderedDict()
2023-03-24T00:44:44Z,OrderedDict()
2023-03-25T00:44:17Z,OrderedDict()
2023-03-26T00:47:35Z,OrderedDict()
2023-03-27T00:44:53Z,OrderedDict()
2023-03-28T00:46:00Z,OrderedDict()
2023-03-29T00:49:20Z,OrderedDict()
